		assetNameId	assetName	assetSymbol	marketList	assetType	yahooNordetInterconId
	ABB Ltd	1	ABB Ltd.	ABB.ST			0
	Alfa Laval AB	2	Alfa Laval AB	ALFA.ST			0
	ASSA ABLOY AB ser. B	4	Assa Abloy AB	ASSA-B.ST			0
	AstraZeneca PLC	5	AstraZeneca PLC	AZN.ST			0
	Atlas Copco AB ser. A	6	Atlas Copco AB	ATCO-A.ST			0
	Atlas Copco AB ser. B	7	Atlas Copco AB	ATCO-B.ST			0
	Atrium Ljungberg B	8	Atrium Ljungberg AB	LJGR-B.ST			0
	Autoliv Inc. SDB	9	Autoliv	ALIV-SDB.ST			0
	Axfood AB	10	Axfood Ab	AXFO.ST			0
	Axis AB	11	Axis AB	AXIS.ST			0
	BillerudKorsnäs AB	12	Billerud AB	BILL.ST			0
	Boliden AB	13	Boliden AB	BOL.ST			0
	Castellum AB	14	Castellum AB	CAST.ST			0
	Electrolux, AB ser. A	15	Electrolux AB	ELUX-A.ST			0
	Electrolux, AB ser. B	16	Electrolux AB	ELUX-B.ST			0
	Elekta AB ser. B	17	Elekta AB	EKTA-B.ST			0
	Ericsson A	19	Ericsson Telephone Company	ERIC-A.ST			0
	Ericsson B	20	Ericsson Telephone Company	ERIC-B.ST			0
	Fabege AB	21	Fabege AB	FABG.ST			0
	Getinge AB ser. B	22	Getinge AB	GETI-B.ST			0
	Sv. Handelsbanken A	23	Svenska Handelsbanken	SHB-A.ST			0
	Sv. Handelsbanken B	24	Svenska Handelsbanken	SHB-B.ST			0
	Hennes & Mauritz B	25	HENNES&MAURITZ -B-	HM-B.ST			0
	Hexagon AB ser. B	26	Hexagon AB	HEXA-B.ST			0
	Holmen AB ser. A	27	Holmen AB	HOLM-A.ST			0
	Holmen AB ser. B	28	Holmen AB	HOLM-B.ST			0
	Hufvudstaden AB ser. A	29	Hufvudstaden AB	HUFV-A.ST			0
	Hufvudstaden AB ser. C	30	Hufvudstaden AB	HUFV-C.ST			0
	Husqvarna AB ser. A	31	Husqvarna AB	HUSQ-A.ST			0
	Husqvarna AB ser. B	32	Husqvarna AB	HUSQ-B.ST			0
	ICA Gruppen AB	33	ICA Gruppen 	ICA.ST			0
	Industrivärden A	34	IND.VAERDEN -A-	INDU-A.ST			0
	Industrivärden C	35	IND.VAERDEN -C-	INDU-C.ST			0
	Investor AB ser. A	36	Investor AB	INVE-A.ST			0
	Investor AB ser. B	37	Investor AB	INVE-B.ST			0
	Kinnevik A	38	KINNEVIK INV. -A-	KINV-A.ST			0
	Kinnevik B	39	KINNEVIK INV. -B-	KINV-B.ST			0
	Latour B	41	Investment AB Latour	LATO-B.ST			0
