ABB Ltd|ABB.ST|
Alfa Laval AB|ALFA.ST|
ASSA ABLOY AB ser. B|ASSA-B.ST|
AstraZeneca PLC|AZN.ST|
Atlas Copco AB ser. A|ATCO-A.ST|
Atlas Copco AB ser. B|ATCO-B.ST|
Atrium Ljungberg B|LJGR-B.ST|
Autoliv Inc. SDB|ALIV-SDB.ST|
Axfood AB|AXFO.ST|
Axis AB|AXIS.ST|
BillerudKorsnäs AB|BILL.ST|
Boliden AB|BOL.ST|
Castellum AB|CAST.ST|
Electrolux  AB ser. A|ELUX-A.ST|
Electrolux  AB ser. B|ELUX-B.ST|
Elekta AB ser. B|EKTAB.ST|
Ericsson A|ERIC-A.ST|
Ericsson B|ERIC-B.ST|
Fabege AB|FABG.ST|
Getinge AB ser. B|GETI-B.ST|
Sv. Handelsbanken A|SHB-A.ST|
Sv. Handelsbanken B|SHB-B.ST|
Hennes & Mauritz B|HM-B.ST|
Hexagon AB ser. B|HEXA-B.ST|
Holmen AB ser. A|HOLM-A.ST|
Holmen AB ser. B|HOLM-B.ST|
Hufvudstaden AB ser. A|HUFV-A.ST|
Hufvudstaden AB ser. C|HUFV-C.ST|
Husqvarna AB ser. A|HUSQ-A.ST|
Husqvarna AB ser. B|HUSQ-B.ST|
ICA Gruppen AB|ICA.ST|
Industrivärden A|INDU-A.ST|
Industrivärden C|INDU-C.ST|
Investor AB ser. A|INVE-A.ST|
Investor AB ser. B|INVE-B.ST|
Kinnevik A|KINV-A.ST|
Kinnevik B|KINV-B.ST|
Latour B|LATO-B.ST|
Lundbergföretagen B|LUND-B.ST|
Lundin Mining Corporation SDB|LUMI-SDB.ST|
Lundin Petroleum AB|LUPE.ST|
Meda AB ser. A|MEDA-A.ST|
Melker Schörling AB|MELK.ST|
Millicom Int. Cellular SDB|MIC-SDB.ST|
Modern Times Group A|MTG-A.ST|
Modern Times Group B|MTG-B.ST|
NCC AB ser. A|NCC-A.ST|
NCC AB ser. B|NCC-B.ST|
NIBE Industrier B|NIBE-B.ST|
Nordea Bank AB|NDA-SEK.ST|
Oriflame|Oriflame Cosmetics SA|
Peab AB ser. B|PEAB-B.ST|
Ratos AB ser. A|RATO-A.ST|
Ratos AB ser. B|RATO-B.ST|
SAAB AB ser. B|SAAB-B.ST|
Sandvik AB|SAND.ST|
SCA A|SCA-A.ST|
SCA B|SCA-B.ST|
SCANIA AB ser. A|SCV-A.ST|
SCANIA AB ser. B|SCV-B.ST|
SEB A|SEB-A.ST|
SEB C|SEB-C.ST|
SECTRA AB ser B|SECT-B.ST|
Semafo Inc.|SMF.ST|
Skanska AB ser. B|SKA-B.ST|
SKF, AB ser. A|SKF-A.ST
SKF, AB ser. B|SKF-B.ST
SSAB AB ser. B|SSAB-B.ST|
Stora Enso Oyj ser. A|STE-A.ST|
Stora Enso Oyj ser. R|STE-R.ST|
Swedbank AB ser A|SWED-A.ST|
Swedish Match AB|SWMA.ST|
Tele2 AB ser. A|TEL2-A.ST|
Tele2 AB ser. B|TEL2-B.ST|
TeliaSonera AB|TLSN.ST|
Tieto Corporation|TIEN.ST|
Trelleborg AB ser. B|TREL-B.ST
Volvo, AB ser. A|VOLV-A.ST
Volvo, AB ser. B|VOLV-B.ST
Wallenstam AB ser. B|WALL-B.ST|
Betsson AB ser. B|BETS-B.ST|
