24H.ST	24H MOVIES SWEDEN	0
25318.ST	Dacke Group Nordic AB	0
2E.ST	2E GROUP	0
2ENT.ST	2Entertain AB	0
360H.ST	360 Holding AB	0
37341.ST	DIGITAL VIS RTS 09	0
3L.ST	3L SYSTEM	0
40331.ST	MUNTERS RED. 07	0
41065.ST	EOS RUSSIA I07	0
43577.ST	Entraction Holding AB	0
43825.ST	IAR SYSTEMS GR -B-	0
43882.ST	Venue Retail Group AB	0
46705.ST	Aqeri Holding AB	0
47240.ST	INVISIO Headsets AB	0
47245.ST	Bredband2 i Skandinavien AB	0
47719.ST	MedCap AB	0
47940.ST	CAPILON	0
49033.ST	DANNEMORA MINER -B-	0
49924.ST	MALKA OIL	0
53229.ST	AMASTEN HOLD -B-	0
55332.ST	EWORK SCANDINAVIA	0
55354.ST	TRYGGA HEM SKANDI	0
585671.ST	Vostok Gas Ltd.	0
62622.ST	VOST NAFT SDR I09/2	0
62893.ST	KOPPARBG MIN RTS09	0
88870.ST	NORSE ENERGY CORP	0
88883.ST	OCEANTEAM SHIPPING	0
88895.ST	RESERVOIR EXPLOR-B-	0
88902.ST	SIEM OFFSHORE	0
88907.ST	SPBK 1 SR-BANK	0
88911.ST	TELIO HOLDING	0
88914.ST	VEIDEKKE	0
89292.ST	WILH. WILH HOLD -B-	0
89293.ST	WILH. WILH HOLD -A-	0
89296.ST	PSI GROUP	0
89412.ST	NORTH ENERGY	0
899736.ST	Fortum Corporation	0
AAK.ST	AarhusKarlshamn AB	0
ABB.ST	ABB Ltd.	0
ACAD-B.ST	AcadeMedia AB	0
ACADB.ST	AcadeMedia AB	0
ACAN-B.ST	Acando AB	0
ACAP-A.ST	ACAP Invest AB	0
ACAP-B.ST	ACAP Invest AB	0
ACAPB.ST	ACAP INVEST -B-	0
ACCE-B.ST	Accelerator Nordic AB	0
ACOM.ST	A-Com AB	0
ACTI.ST	Active Biotech AB	0
ADDT-B.ST	Addtech AB	0
ADDTB.ST	Addtech AB	0
ADDV.ST	AddVise Inredning Skyddsven	0
AERO-B.ST	Aerocrine AB	0
AF-B.ST	AF AB	0
AFFS-B.ST	Affarsstrategerna	0
AFFSB.ST	Affarsstrategerna	0
AGIS.ST	AGELLIS GROUP	0
ALFA.ST	Alfa Laval AB	0
ALIV-SDB.ST	Autoliv	0
ALM.ST	ALM EQUITY -A-	0
ALME.ST	ALBIN METALS	0
ALNX.ST	ALLENEX -B-	0
ALOK-B.ST	ALLOKTON -B-	0
ALPA.ST	Alpcot Agro AB	0
ALPH.ST	ALPHAHELIX MOLE DIA	0
AMAST-B.ST	AMASTEN HOLD -B-	0
AMH2-B.ST	AMHULT 2 -B-	0
ANGPB.ST	AF AB	0
ANNE.ST	ANNEHEM FASTIGHETER	0
ANOD-B.ST	AddNode AB	0
ANOT.ST	Anoto Group Ab	0
AOIL-SDB-PREF.ST	ALLIANCE O PREF SDR	0
AQ.ST	AROS QUALITY GROUP	0
AQER.ST	AQERI HOLDING	0
AQLV.ST	AQUALIV	0
ARCH-B.ST	ARCHELON MINERA -B-	0
ARCHERO.ST	ARCHER	0
ARP.ST	ARCTIC PAPER	0
ARTI-B.ST	Artimplant AB	0
ARTIB.ST	Artimplant AB	0
ASP.ST	Aspiro AB	0
ASSA-B.ST	Assa Abloy AB	0
ASSAB.ST	Assa Abloy AB	0
ATCO-A.ST	Atlas Copco AB	0
ATCO-B.ST	Atlas Copco AB	0
ATCOA.ST	Atlas Copco AB	0
ATCOB.ST	ATLAS COPCO -B-	0
ATEL.ST	ALLTELE ALLM SVENSK	0
ATI.ST	AQUA TERRENA INTL	0
ATO-B.ST	ALTERO -B-	0
ATO-TR-B.ST	ALTERO RTS 13	0
AUDV-B.ST	Audiodev Ab	0
AUDVB.ST	Audiodev Ab	0
AUH.ST	AU HOLDING	0
AVEG-B.ST	AVEGA GROUP -B-	0
AVON.ST	AVONOVA SVERIGE	0
AVT-B.ST	AVITECH SWE-B-	0
AVT-TR-PREF.ST	AVTECH SWED RTS 12	0
AXFO.ST	Axfood Ab	0
AXIS.ST	Axis AB	0
AXLN.ST	Axlon Group AB	0
AZA.ST	Avanza AB	0
AZN.ST	AstraZeneca PLC	0
AZN4K-340SWE.ST	AZN/SWEDBK WTS 14	0
BAHN-B.ST	BAHNHOF -B-	0
BALD-B.ST	Fastighets AB Balder	0
BBTO-B.ST	B&B Tools AB	0
BEF-SDB-TR.ST	BLACK EARTH RTS 12	0
BEF-SDB.ST	BLACK EARTH FA SDB	0
BEGR.ST	BE Group AB	0
BEIA-B.ST	Beijer Alma AB	0
BEIAB.ST	Beijer Alma AB	0
BEIJ-B.ST	G & L Beijer AB	0
BEIN-B.ST	BESTIN PREPACK -B-	0
BELE.ST	Beijer Electronics AB	0
BEO-SDB.ST	BEOWULF MIN SDB	0
BERGB.ST	B&B TOOLS AB	0
BETS-B.ST	Betsson AB	0
BETS-IL-B.ST	BETSSON -B- RED	0
BIAP-A.ST	Biosensor Applications Sweden AB	0
BIAP-BTA-A.ST	BIOSENSOR -A- I13	0
BIAP-TR-A.ST	BIOSENSOR RTS 13/A	0
BIGG-BTA-B.ST	BIOTECH-IGG -B- I13	0
BIGG-TR-B.ST	BIOTECH RTS 13/B	0
BILI-A.ST	Bilia AB	0
BILIA.ST	Bilia AB	0
BILL-TR.ST	BILLERUDKORS RTS 12	0
BILL.ST	Billerud AB	0
BINV.ST	Bioinvent International Ab	0
BIO1-B.ST	BIOMETRON -B-	0
BIOG-B.ST	BioGaia AB	0
BIOGB.ST	Biogaia Ab	0
BIOP.ST	BioPhausia AB	0
BIOT.ST	BIOTAGE	0
BLIN.ST	Biolin Ab	0
BLIT.ST	ECO BYGGOLIT	0
BMIM.ST	B&M IMPEX	0
BOL.ST	Boliden AB	0
BOL3H-145SWE.ST	BOL/SWEDBK WTS 13	0
