ABB.ST	ABB Ltd.
ALFA.ST	Alfa Laval AB
AOIL-SDB.ST	ALLIANCE OIL CO SDR
ASSA-B.ST	Assa Abloy AB
AZN.ST	AstraZeneca PLC
ATCO-A.ST	Atlas Copco AB
ATCO-B.ST	Atlas Copco AB
LJGR-B.ST	Atrium Ljungberg AB
ALIV-SDB.ST	Autoliv
AXFO.ST	Axfood Ab
AXIS.ST	Axis AB
BILL.ST	Billerud AB
BOL.ST	Boliden AB
CAST.ST	Castellum AB
ELUX-A.ST	Electrolux AB
ELUX-B.ST	Electrolux AB
EKTA-B.ST	Elekta AB
EKTAB.ST	Elekta AB
ERIC-A.ST	Ericsson Telephone Company
ERIC-B.ST	Ericsson Telephone Company
FABG.ST	Fabege AB
GETI-B.ST	Getinge AB
SHB-A.ST	Svenska Handelsbanken
SHB-B.ST	Svenska Handelsbanken
HM-B.ST	HENNES&MAURITZ -B-
HEXA-B.ST	Hexagon AB
HOLM-A.ST	Holmen AB
HOLM-B.ST	Holmen AB
HUFV-A.ST	Hufvudstaden AB
HUFV-C.ST	Hufvudstaden AB
HUSQ-A.ST	Husqvarna AB
HUSQ-B.ST	Husqvarna AB
ICA.ST	ICA Gruppen 
INDU-A.ST	IND.VAERDEN -A-
INDU-C.ST	IND.VAERDEN -C-
INVE-A.ST	Investor AB
INVE-B.ST	Investor AB
KINV-A.ST	KINNEVIK INV. -A-
KINV-B.ST	KINNEVIK INV. -B-
LATO-A.ST	LATOUR INVEST -A-
LATO-B.ST	LATOUR INVEST -B- 
LATO-B.ST	Investment AB Latour
LUND-B.ST	LUNDBERG -B-
LUMI-SDB.ST	Lundin Mining Corp
LUPE.ST	Lundin Petroleum AB
MEDA-A.ST	Meda AB
MELK.ST	Melker Schorling AB
MIC-SDB.ST	MILLICOM INT. CELL
MTG-A.ST	Modern Times Group MTG AB
MTG-B.ST	Modern Times Group MTG AB
NCC-A.ST	NCC AB
NCC-B.ST	NCC AB
NIBE-B.ST	NIBE IND.-B-
NDA-SEK.ST	Nordea Bank AB
ORI-SDB.ST	Oriflame Cosmetics SA
PEAB-B.ST	Peab AB
RATO-A.ST	Ratos AB
RATO-B.ST	Ratos AB
SAAB-B.ST	Saab AB
SAND.ST	Sandvik AB
SCA-A.ST	Svenska Cellulosa AB
SCA-B.ST	SCA Sv Cellulosa
SCV-A.ST	Scania AB
SCV-B.ST	Scania AB
SCV-IL-A.ST	SCANIA -A- RED.08
SCV-IL-B.ST	SCANIA -B- RED 08
SEB-A.ST	Skandinaviska Enskilda Banken AB
SEB-C.ST	Skandinaviska Enskilda Banken AB
SECU-B.ST	Securitas AB
SMF.ST	SEMAFO
SKA-B.ST	Skanska AB
SKF-A.ST	SKF
SKF-B.ST	SKF
SSAB-A.ST	SSAB Corp
SSAB-B.ST	SSAB Corp
STE-A.ST	STORA ENSO -A-
STE-R.ST	Stora Enso Oyj
SWED-A.ST	Swedbank AB
SWED-PREF.ST	SWEDBANK PRF
SWMA.ST	Swedish Match AB
TEL2-A.ST	Tele2 AB
TEL2-B.ST	Tele2 AB
TLSN.ST	Teliasonera Ab
TIEN.ST	TietoEnator Oyj
TREL-B.ST	Trelleborg AB
VOLV-A.ST	VOLVO -A-
VOLV-B.ST	Volvo AB
WALL-B.ST	Wallenstam Byggn

