MAERSK-A.CO	A.P. Møller - Mærsk A
MAERSK-B.CO	A.P. Møller - Mærsk B
AAK.ST	AarhusKarlshamn AB
ABB.ST	ABB Ltd
AKER.OL	Aker
AKSO.OL	Aker Solutions
ALFA.ST	Alfa Laval AB
ALGETA.OL	Algeta
ASSA-B.ST	ASSA ABLOY AB ser. B
AZN.ST	AstraZeneca PLC
ATCO-A.ST	Atlas Copco AB ser. A
ATCO-B.ST	Atlas Copco AB ser. B
LJGR-B.ST	Atrium Ljungberg B
ALIV-SDB.ST	Autoliv Inc. SDB
AXFO.ST	Axfood AB
AXIS.ST	Axis AB
BILL.ST	BillerudKorsnäs AB
BOL.ST	Boliden AB
CARL-A.CO	Carlsberg A A/S
CARL-B.CO	Carlsberg B A/S
CAST.ST	Castellum AB
CHR.CO	Chr. Hansen Holding A/S
COLOB.CO	Coloplast B A/S
DANSKE.CO	Danske Bank A/S
DNB.OL	DNB
DSV.CO	DSV A/S
ELUX-A.ST	Electrolux AB ser. A
ELUX-B.ST	Electrolux AB ser. B
EKTAB.ST	Elekta AB ser. B
ENQ.ST	EnQuest PLC
ERIC-A.ST	Ericsson A
ERIC-B.ST	Ericsson B
FABG.ST	Fabege AB
FKRAF	Fiskars Corporation
FLS.CO	FLSmidth & Co. A/S
FOJCY	Fortum Corporation
FOE.OL	Fred. Olsen Energy
FRO.OL	Frontline
GEN.CO	Genmab A/S
GETI-B.ST	Getinge AB ser. B
GJF.OL	Gjensidige Forsikring
GN.CO	GN Store Nord A/S
LUN.CO	H. Lundbeck A/S
HNB.OL	Hafslund ser. A
HNA.OL	Hafslund ser. B
HM-B.ST	Hennes & Mauritz B
HEXA-B.ST	Hexagon AB ser. B
HPOL-B.ST	HEXPOL AB ser. B
HOLM-A.ST	Holmen AB ser. A
HOLM-B.ST	Holmen AB ser. B
HUFV-A.ST	Hufvudstaden AB ser. A
HUFV-C.ST	Hufvudstaden AB ser. C
HUSQ-A.ST	Husqvarna AB ser. A
HUSQ-B.ST	Husqvarna AB ser. B
ICA.ST	ICA Gruppen AB
INDU-A.ST	Industrivärden A
INDU-C.ST	Industrivärden C
IJ.ST	Intrum Justitia AB
INVE-A.ST	Investor AB ser. A
INVE-B.ST	Investor AB ser. B
JM.ST	JM AB
JYSK.CO	Jyske Bank A/S
KINV-A.ST	Kinnevik A
KINV-B.ST	Kinnevik B
KBHL.CO	Københavns Lufthavne A/S
LATO-B.ST	Latour B
LUND-B.ST	Lundbergföretagen B
LUMI-SDB.ST	Lundin Mining Corporation SDB
LUPE.ST	Lundin Petroleum AB
MEDA-A.ST	Meda AB ser. A
MELK.ST	Melker Schörling AB
MIC-SDB.ST	Millicom Int. Cellular SDB
MTG-A.ST	Modern Times Group A
MTG-B.ST	Modern Times Group B
NCC-A.ST	NCC AB ser. A
NCC-B.ST	NCC AB ser. B
NIBE-B.ST	NIBE Industrier B
NOKI-SEK.ST	Nokia Corporation
NDA-SEK.ST	Nordea Bank AB
NHY.OL	Norsk Hydro
NOVO-B.CO	Novo Nordisk B A/S
NZYM-B.CO	Novozymes B A/S
ODL.OL	Odfjell Drilling
ORI-SDB.ST	Oriflame, SDB
ORK.OL	Orkla
PNDORA.CO	Pandora A/S
PEAB-B.ST	Peab AB ser. B
RATO-PREF.ST	Ratos AB pref
RATO-A.ST	Ratos AB ser. A
RATO-B.ST	Ratos AB ser. B
REC.OL	REC Silicon
ROCK-A.CO	Rockwool Int. A
ROCK-B.CO	Rockwool Int. B
SAAB-B.ST	SAAB AB ser. B
SAND.ST	Sandvik AB
SCA-A.ST	SCA A
SCA-B.ST	SCA B
SDRL.OL	Seadrill
SEB-A.ST	SEB A
SEB-C.ST	SEB C
SECU-B.ST	Securitas AB ser. B
SKA-B.ST	Skanska AB ser. B
SKF-A.ST	SKF, AB ser. A
SKF-B.ST	SKF, AB ser. B
SRBANK.OL	SpareBank 1 SR-Bank
SSAB-A.ST	SSAB AB ser. A
SSAB-B.ST	SSAB AB ser. B
STL.OL	Statoil
STE-A.ST	Stora Enso Oyj ser. A
STE-R.ST	Stora Enso Oyj ser. R
SHB-A.ST	Sv. Handelsbanken A
SHB-B.ST	Sv. Handelsbanken B
SWED-A.ST	Swedbank AB ser A
SWMA.ST	Swedish Match AB
SOBI.ST	Swedish Orphan Biovitrum
SYDB.CO	Sydbank A/S
TDC.CO	TDC A/S
TEL2-A.ST	Tele2 AB ser. A
TEL2-B.ST	Tele2 AB ser. B
TEL.OL	Telenor
TLSN.ST	TeliaSonera AB
TIEN.ST	Tieto Corporation
TOP.CO	Topdanmark A/S
TREL-B.ST	Trelleborg AB ser. B
TRYG.CO	Tryg A/S
VWS.CO	Vestas Wind Systems A/S
VOLV-A.ST	Volvo, AB ser. A
VOLV-B.ST	Volvo, AB ser. B
WALL-B.ST	Wallenstam AB ser. B
WDH.CO	William Demant Holding
YAR.OL	Yara International
