SOBI.ST	Swedish Orphan Biovitrum
ACTI.ST	Active Biotech
MVIR-B.ST	Medivir B
CDON.ST	CDON Group
SAS.ST	SAS
AERO-B.ST	Aerocrine B
BEF-SDB.ST	Black Earth Farming
NOBI.ST	Nobia
KLED.ST	Kungsleden
ORES.ST	Öresund
CORE.ST	Corem Property Group
CORE-PREF.ST	Corem Property Group Pref
CRED-A.ST	Creades A
ENQ.ST	EnQuest PLC
SAGA-A.ST	Sagax A
SAGA-B.ST	Sagax B
SAGA-PREF.ST	Sagax pref
BALD-B.ST	Fast. Balder B
BALD-PREF.ST	Fast. Balder pref
TETY.ST	Tethys Oil
DIOS.ST	Diös Fastigheter
WIHL.ST	Wihlborgs Fastigheter
KLOV.ST	Klövern
KLOV-PREF.ST	Klövern pref
HEBA-B.ST	FAST. HEBA B
TRI.ST	Tribona
NEWA-B.ST	New Wave B
FPAR.ST	Fast Partner
FPAR-PREF.ST	Fast Partner Pref
BBTO-B.ST	B&B TOOLS B
VOST.ST	Vostok Nafta Investment
NOLA-B.ST	Nolato B
ENRO.ST	Eniro
ENRO-PREF.ST	Eniro pref
JM.ST	JM
BETS-B.ST	Betsson B
BMAX.ST	Byggmax Group
LOOM-B.ST	Loomis B
FAG.ST	Fagerhult
MEKO.ST	Mekonomen
BILI-A.ST	Bilia A
BEIA-B.ST	Beijer Alma B
IJ.ST	Intrum Justitia
INDT.ST	Indutrade
HIQ.ST	HiQ International
ADDT-B.ST	Addtech B
HPOL-B.ST	HEXPOL B
AF-B.ST	ÅF B
NN-B.ST	Nordnet B
CLAS-B.ST	Clas Ohlson B
TRMO.ST	Transmode
SWEC-A.ST	SWECO A
SWEC-B.ST	SWECO B
FIX-B.ST	Fenix Outdoor B
PROE-B.ST	Proffice B
SKIS-B.ST	SkiStar B
COIC.ST	Concentric
BURE.ST	Bure Equity
UNIB-SDB.ST	Unibet Group
AAK.ST	AarhusKarlshamn
CLA-B.ST	Cloetta B
DUNI.ST	Duni
BEIJ-B.ST	Beijer B
SYSR.ST	Systemair
KAHL.ST	KappAhl
IFS-A.ST	A Industrial & Financial Sys AB
IFS-B.ST	B Industrial & Financial Sys AB
SECT-B.ST	SECTRA B
LIAB.ST	Lindab International
AZA.ST	Avanza Bank Holding
NET-B.ST	Net Entertainment NE B
SWOL-B.ST	Swedol B
BIOG-B.ST	BioGaia B
ECEX.ST	East Capital Explorer
HLDX.ST	Haldex
GUNN.ST	Gunnebo
REZT.ST	Rezidor Hotel Group
PXXS-SDB.ST	BlackPearl Resources SDB
PLAZ-B.ST	Platzer Fastigheter Ho...
SNTC.ST	Sanitec Oyj
ASC.OL	ABG Sundal Collier Holding
ALK-B.CO	ALK-Abelló B A/S
ALMB.CO	Alm. Brand A/S
AMBU-B.CO	Ambu A/S
ARCHER.OL	Archer
AFK.OL	Arendals Fossekompani
ATEA.OL	Atea
AURI-B.CO	Auriga Industries B A/S
AUSS.OL	Austevoll Seafood
AVM.OL	Avocet Mining
BWLPG.OL	BW LPG
BWO.OL	BW Offshore Limited
BAKKA.OL	Bakkafrost
BO.CO	Bang & Olufsen
BAVA.CO	Bavarian Nordic A/S
BON.OL	Bonheur
BRG.OL	Borregaard
CEQ.OL	Cermaq
DNORD.CO	D/S Norden
DFDS.CO	DFDS A/S
DNO.OL	DNO International
DOF.OL	DOF
DETNOR.OL	Det norske oljeselskap
ECHEM.OL	Eitzen Chemical
EKO.OL	Ekornes
FAR.OL	Farstad Shipping
FPEPI.CO	Formuepleje Epikur A/S
FPLIM.CO	Formuepleje LimiTTellus
FPMER.CO	Formuepleje Merkur A/S
FPOPT.CO	Formuepleje Optimum A/S
FPPAR.CO	Formuepleje Pareto A/S
FPPEN.CO	Formuepleje Penta A/S
FPSAFE.CO	Formuepleje Safe A/S
GRO.OL	Ganger Rolf
GES.CO	Greentech Energy Systems
IC.CO	IC Companys A/S
JDAN.CO	Jeudan A/S
KOG.OL	Kongsberg Gruppen
KVAER.OL	Kværner
LSG.OL	Lerøy Seafood Group
MHG.OL	Marine Harvest
MATAS.CO	Matas A/S
NKT.CO	NKT Holding A/S
NSG.OL	Norske Skogindustrier
NOR.OL	Norwegian Energy Company
OCY.OL	Ocean Yield
ODF.OL	Odfjell ser. A
ODFB.OL	Odfjell ser. B
OLT.OL	Olav Thon Eiendomsselskap
OPERA.OL	Opera Software
PGS.OL	Petroleum Geo-Services
PLCS.OL	Polarcus
PRS.OL	Prosafe
QEC.OL	Questerre Energy Corporation
REC.OL	REC Solar
RILBA.CO	Ringkjøbing Landbobank
RBREW.CO	Royal UNIBREW A/S
SALM.OL	SalMar
SCH.OL	Schibsted
SCHO.CO	Schouw & Co. A/S
SBO.OL	Selvaag Bolig
SEVDR.OL	Sevan Drilling
SEVAN.OL	Sevan Marine
SIOFF.OL	Siem Offshore
SIM.CO	SimCorp A/S
SOLAR-B.CO	Solar B A/S
SOFF.OL	Solstad Offshore
SPNO.CO	Spar Nord Bank A/S
MING.OL	SpareBank 1 SMN
SNI.OL	Stolt-Nielsen
STB.OL	Storebrand
SUBC.OL	Subsea 7
TGS.OL	TGS-NOPEC Geophysical Company
TIV.CO	Tivoli A/S
TOM.OL	Tomra Systems
UIE.CO	United Int. Enterprises
VEI.OL	Veidekke
VPOS.OL	Veripos
WBULK.OL	Western Bulk
WWASA.OL	Wilh. Wilhelmsen
WWI.OL	Wilh. Wilhelmsen Holding ser. A
WWIB.OL	Wilh. Wilhelmsen Holding ser. B
ZEAL.CO	Zealand Pharma A/S
OSSR.CO	Össur hf.
