Date,Open,High,Low,Close,Volume,Adj Close
2016-03-10,57.50,58.25,56.50,57.25,94300,55.45
2016-03-09,56.75,58.50,56.50,57.50,56600,55.69
2016-03-08,57.00,57.75,56.00,57.50,51400,55.69
2016-03-07,59.00,59.25,57.50,58.00,74800,56.18
2016-03-04,58.75,59.50,57.00,59.25,198900,57.39
2016-03-03,58.50,58.50,57.00,57.50,99100,55.69
2016-03-02,58.50,58.50,57.25,58.00,159300,56.18
2016-03-01,57.00,59.00,56.75,57.75,176200,55.93
2016-02-29,55.25,57.00,55.00,56.75,146200,54.97
2016-02-26,56.50,56.50,54.75,55.75,170500,54.00
2016-02-25,54.25,55.25,54.25,55.00,122300,53.27
2016-02-24,54.75,55.50,54.00,54.00,93100,52.30
2016-02-23,54.75,54.75,54.25,54.75,79000,53.03
2016-02-22,53.50,55.00,53.50,54.75,95600,53.03
2016-02-19,55.25,55.50,53.50,53.75,51700,52.06
2016-02-18,54.50,55.00,53.50,54.75,116000,53.03
2016-02-17,53.25,54.25,53.25,54.00,118400,52.30
2016-02-16,54.00,54.50,52.50,53.25,164100,51.58
2016-02-15,54.00,55.00,53.00,53.00,50900,51.33
2016-02-12,52.25,54.00,52.25,53.75,37800,52.06
2016-02-11,53.75,53.75,52.25,52.25,125300,50.61
2016-02-10,53.00,54.00,52.50,53.75,365700,52.06
2016-02-09,53.00,53.25,50.50,53.00,111100,51.33
2016-02-08,55.75,55.75,52.50,53.00,123800,51.33
2016-02-05,57.00,57.00,54.50,54.75,188600,53.03
2016-02-04,55.00,57.00,54.00,57.00,123300,55.21
2016-02-03,55.00,55.00,54.00,55.00,188500,53.27
2016-02-02,56.75,56.75,55.00,55.25,277800,53.51
2016-02-01,55.25,56.25,55.25,56.25,144000,54.48
2016-01-29,55.00,55.75,54.75,55.00,46500,53.27
2016-01-28,55.75,55.75,54.75,54.75,185300,53.03
2016-01-27,54.50,55.75,54.25,55.75,53600,54.00
2016-01-26,55.00,55.75,54.00,54.75,123400,53.03
2016-01-25,53.00,55.00,52.75,54.75,122400,53.03
2016-01-22,53.00,53.75,51.25,52.50,175400,50.85
2016-01-21,53.75,53.75,52.00,52.50,130900,50.85
2016-01-20,52.75,53.50,52.50,52.75,177800,51.09
2016-01-19,52.00,53.50,52.00,52.50,154100,50.85
2016-01-18,51.50,53.50,51.50,52.25,77200,50.61
2016-01-15,54.50,54.75,50.75,51.50,121000,49.88
2016-01-14,54.00,54.25,53.00,54.25,180200,52.54
2016-01-13,54.75,56.00,54.00,54.00,114700,52.30
2016-01-12,55.75,55.75,54.25,54.75,43000,53.03
2016-01-11,55.50,56.00,54.00,55.75,99700,54.00
2016-01-08,54.00,55.50,53.50,54.75,185500,53.03
2016-01-07,55.50,55.50,52.25,53.50,183400,51.82
2016-01-06,55.50,55.50,55.50,55.50,000,53.76
2016-01-05,56.75,56.75,55.00,55.50,63000,53.76
2016-01-04,54.50,56.50,53.00,56.00,118700,54.24
2016-01-01,54.25,54.25,54.25,54.25,000,52.54
2015-12-31,54.25,54.25,54.25,54.25,000,52.54
2015-12-30,54.00,55.50,53.25,54.25,132600,52.54
2015-12-29,53.00,54.00,52.75,53.50,93300,51.82
2015-12-28,52.00,53.00,52.00,53.00,70700,51.33
2015-12-25,52.00,52.00,52.00,52.00,000,50.37
2015-12-24,52.00,52.00,52.00,52.00,000,50.37
2015-12-23,51.50,52.25,51.25,52.00,232100,50.37
2015-12-22,52.25,52.25,50.75,50.75,221700,49.15
2015-12-21,51.00,52.25,51.00,52.00,294200,50.37
2015-12-18,48.90,51.25,48.80,51.25,221700,49.64
2015-12-17,52.25,52.25,49.30,49.90,395500,48.33
2015-12-16,51.25,52.00,51.00,51.25,563300,49.64
2015-12-15,52.00,52.75,51.75,51.75,307100,50.12
2015-12-14,52.75,52.75,52.00,52.25,149100,50.61
2015-12-11,52.75,52.75,52.25,52.75,95200,51.09
2015-12-10,53.00,53.00,52.00,52.25,75000,50.61
2015-12-09,53.00,53.00,52.25,52.50,72100,50.85
2015-12-08,53.00,53.00,52.25,53.00,137500,51.33
2015-12-07,52.25,52.75,52.00,52.75,423100,51.09
2015-12-04,52.00,52.25,51.00,52.25,442900,50.61
2015-12-03,52.75,52.75,51.25,51.75,276900,50.12
2015-12-02,52.00,52.50,51.50,52.00,766100,50.37
2015-12-01,51.50,52.25,51.00,51.50,268400,49.88
2015-11-30,49.90,51.75,49.60,51.75,4403400,50.12
2015-11-27,50.25,50.50,49.50,49.80,154400,48.23
2015-11-26,53.00,53.50,49.50,49.70,299200,48.14
2015-11-25,51.00,52.25,50.50,51.25,115600,49.64
2015-11-24,52.00,52.25,50.50,51.00,56400,49.40
2015-11-23,52.25,52.50,51.75,52.25,98200,50.61
2015-11-20,52.25,52.50,52.00,52.25,36300,50.61
2015-11-19,52.00,52.25,51.50,52.00,121300,50.37
2015-11-18,52.00,52.00,51.50,52.00,32800,50.37
2015-11-17,51.50,52.00,51.25,52.00,87100,50.37
2015-11-16,50.00,51.00,49.60,51.00,363100,49.40
2015-11-13,50.75,51.25,49.60,50.00,250900,48.43
2015-11-12,51.75,52.00,50.75,50.75,193100,49.15
2015-11-11,52.00,52.25,51.25,51.50,106400,49.88
2015-11-10,52.25,52.25,51.50,51.50,48900,49.88
2015-11-09,51.00,52.50,51.00,52.00,149100,50.37
2015-11-06,51.00,51.25,50.50,51.00,325400,49.40
2015-11-05,50.75,51.00,50.00,50.50,367200,48.91
2015-11-04,50.00,50.25,49.80,50.25,70200,48.67
2015-11-03,49.40,50.75,48.60,49.70,246200,48.14
2015-11-02,49.00,49.40,48.10,48.30,80300,46.78
2015-10-30,49.00,49.00,48.60,49.00,50500,47.46
2015-10-29,48.80,49.00,48.50,48.90,43200,47.36
2015-10-28,48.40,48.60,48.20,48.50,29200,46.98
2015-10-27,48.10,48.40,47.30,48.40,61500,46.88
2015-10-26,47.70,48.20,47.30,48.10,54600,46.59
2015-10-23,48.10,48.70,47.30,47.80,95900,46.30
2015-10-22,48.30,48.30,47.70,48.20,42000,46.68
2015-10-21,48.40,48.80,47.90,48.30,62800,46.78
2015-10-20,48.60,49.10,48.00,49.00,61400,47.46
2015-10-19,47.50,49.20,47.50,47.90,89700,46.39
2015-10-16,48.40,48.60,47.30,47.90,123900,46.39
2015-10-15,48.30,48.40,47.40,47.50,20600,46.01
2015-10-14,48.00,48.50,47.00,48.30,61300,46.78
2015-10-13,48.90,49.00,47.50,47.60,195100,46.10
2015-10-12,48.00,49.20,48.00,49.00,38000,47.46
2015-10-09,46.50,47.70,46.50,47.70,230400,46.20
2015-10-08,46.80,46.80,46.20,46.40,264200,44.94
2015-10-07,46.50,46.70,46.00,46.00,54300,44.55
2015-10-06,46.20,46.70,46.00,46.00,50500,44.55
2015-10-05,46.00,46.80,45.40,46.70,90100,45.23
2015-10-02,46.00,46.00,45.00,45.20,1704800,43.78
2015-10-01,45.50,46.70,45.50,45.80,52600,44.36
2015-09-30,44.70,45.80,44.70,45.40,497500,43.97
2015-09-29,44.60,44.60,43.50,44.20,57600,42.81
2015-09-28,45.30,45.30,44.20,44.70,256800,43.29
2015-09-25,44.40,45.60,44.40,45.40,44400,43.97
2015-09-24,45.00,45.40,44.10,44.50,91300,43.10
2015-09-23,45.30,45.30,44.80,45.00,68400,43.59
2015-09-22,46.20,46.20,45.10,45.30,218300,43.88
2015-09-21,45.90,46.00,45.20,45.90,124300,44.46
2015-09-18,46.00,46.00,44.80,44.90,118000,43.49
2015-09-17,45.00,47.20,45.00,45.60,100200,44.17
2015-09-16,44.60,45.40,44.60,45.00,126900,43.59
2015-09-15,45.70,46.00,44.20,44.60,125900,43.20
2015-09-14,46.60,46.60,45.40,45.90,61200,44.46
2015-09-11,46.80,47.20,46.40,47.00,81000,45.52
2015-09-10,45.80,47.00,45.10,47.00,134300,45.52
2015-09-09,47.40,47.40,45.80,45.80,198100,44.36
2015-09-08,47.20,47.20,46.50,46.60,47100,45.13
2015-09-07,46.50,48.20,46.50,46.70,126300,45.23
2015-09-04,46.60,46.80,46.40,46.50,69200,45.04
2015-09-03,46.50,47.40,45.90,47.00,223300,45.52
2015-09-02,46.90,47.40,46.10,46.50,160200,45.04
2015-09-01,47.80,47.80,46.80,46.80,108500,45.33
2015-08-31,47.20,48.10,46.30,48.00,103300,46.49
2015-08-28,47.80,48.60,47.20,47.50,175100,46.01
2015-08-27,45.20,46.80,45.00,45.90,74300,44.46
2015-08-26,46.00,46.00,44.00,44.00,56200,42.62
2015-08-25,44.10,45.50,44.00,44.80,312500,43.39
2015-08-24,45.10,45.20,41.50,43.80,142300,42.42
2015-08-21,46.10,46.20,45.20,46.10,71500,44.65
2015-08-20,46.60,47.30,46.00,46.50,56200,45.04
2015-08-19,47.60,47.60,46.30,47.30,35600,45.81
2015-08-18,47.50,47.90,47.30,47.50,31900,46.01
2015-08-17,47.90,48.40,47.50,48.00,80500,46.49
2015-08-14,48.10,48.10,47.60,47.70,21600,46.20
2015-08-13,48.00,48.40,47.60,48.10,87800,46.59
2015-08-12,48.10,48.30,47.50,48.10,28200,46.59
2015-08-11,48.20,48.90,48.10,48.40,99600,46.88
2015-08-10,48.90,48.90,48.40,48.90,29200,47.36
2015-08-07,49.00,49.00,48.40,49.00,32600,47.46
2015-08-06,49.00,49.40,48.30,48.90,190000,47.36
2015-08-05,49.20,49.70,49.10,49.20,93400,47.65
2015-08-04,49.60,49.70,49.10,49.70,33500,48.14
2015-08-03,49.60,49.70,49.20,49.70,15200,48.14
2015-07-31,49.40,49.60,49.20,49.60,11200,48.04
2015-07-30,49.80,49.80,49.20,49.50,13400,47.94
2015-07-29,50.25,50.25,49.10,49.40,457900,47.85
2015-07-28,50.00,50.25,49.30,49.70,26200,48.14
2015-07-27,50.00,50.00,49.30,49.60,29100,48.04
2015-07-24,49.20,50.25,49.00,50.25,69400,48.67
2015-07-23,49.90,49.90,49.00,49.50,40000,47.94
2015-07-22,49.90,49.90,49.50,49.90,36100,48.33
2015-07-21,49.90,49.90,49.00,49.70,219400,48.14
2015-07-20,49.40,49.80,49.30,49.70,72200,48.14
2015-07-17,49.00,49.40,48.90,49.30,114400,47.75
2015-07-16,49.90,49.90,49.00,49.00,133300,47.46
2015-07-15,49.00,49.90,49.00,49.70,117100,48.14
