AAK.ST|AarhusKarlshamn AB
ARCHERO.ST|ARCHER
SKF-A.ST|SKF, Group
MOBI-SD|.ST MOBILE LOYALTY SDR
CTEC.ST|ChronTech Pharma AB
BOUL.ST|BOULE DIAGNOSTICS
KDEV.ST|KAROL DEVEL -B-
ALM.ST|ALM EQUITY -A-
CAOI.ST|CAUCASUS OIL
EPIS-B.ST|EPISURF MEDICAL -B-
RLS-BTA.ST|RLS GLOBAL I12
CEVI.ST|CELLAVISION	
CZON-B.ST|Cryptzone Group AB
NCC-B.ST|NCC AB
FINM-B.ST|FINMETRON -B-
EPIS-B.ST|EPISURF MEDICAL -B-
RLS-BTA.ST|RLS GLOBAL I12
CEVI.ST|CELLAVISION
CZON-B.ST|Cryptzone Group AB
NCC-B.ST|NCC AB	162.10
FINM-B.ST|FINMETRON -B-
AQ.ST|AQ GROUP
HEXA-B.ST|Hexagon AB
EURI-BTA-B.ST|EU INST SCIEN B
ORKO.ST|Orkla
ARP.ST|ARCTIC PAPER
ALNX.ST|ALLENEX -B-
89292.ST|WILH. WILH HOLD -B-
BOL3H-145SWE.ST|BOL/SWEDBK WTS 13
REZT.ST|Rezidor Hotel Group AB
CLA-B.ST|Cloetta AB
BELE.ST|Beijer Electronics AB
FPIP.ST|FormPipe Software AB
XTRA.ST|XTRANET GR STOCKH
CE.ST|CORTUS ENERGY
GET4K-280SWE.ST|GTN/SWEDBK WTS 14
ORI-SDB.ST|Oriflame Cosmetics SA
SPAG-BTA.ST|SPAGO IMAGING I12
H1-B.ST|H1 COMMUNICATIO -B-
AZN4K-340SWE.ST|AZN/SWEDBK WTS 14
PREV-B.ST|Prevas AB
ACAP-A.ST|ACAP Invest AB
LYYN.ST|LYYN
CNTA.ST|Connecta AB
OPCO-BTA.ST|OPCON I12
MEDA-A.ST|Meda AB
NHYO.ST|Norsk Hydro ASA
TIEN.ST|Tieto Corp
OASM-BTA.ST|OASMIA I12/1
ACAN-B.ST|Acando AB
NOFO.ST|NORTHERN OFF (BERM)
CAST.ST|Castellum AB
DUNI.ST|Duni AB
AVT-TR-PREF.ST|AVTECH SWED RTS 12
LUMI-SDB.ST|Lundin Mining Corp
ERI4K-115SWE.ST|ERICB/SWEDBK WTS 14
FIX-B.ST|Fenix Outdoor AB
TGSO.ST|TGS-NOPEC Geophysical Company ASA
AQER.ST|AQERI HOLDING
CEAB-TR.ST|COMM ENT SVE RTS
REACHO.ST|REACH SUBSEA
AERO-B.ST|Aerocrine AB
EURO.ST|EUROCON CONSULTING
SRBANKO.ST|AUSTEVOLL SEAFOOD
WESC-BTA.ST|WESC I12
SBOK.ST|SCANDBOOK
MIR.ST|MIRIS HOLDING
BEGR.ST|BE Group AB
RUSF.ST|RUSFOREST
CLS-B.ST|CLINICAL LASER -B-
MEKO.ST|Mekonomen AB
WILSO.ST|BWG HOMES
FABG.ST|Fabege AB
SEAN.ST|SEANET MARI COMMUN
YARO.ST|Yara International ASA
DIOS.ST|Dios Fastigheter AB
BEF-SDB-TR.ST|BLACK EARTH RTS 12
CHER-B.ST|Cherryforetagen AB
KOAO.ST|KONGSB AUTOM HOLD
HMS.ST|HMS Networks AB
NOLA-B.ST|Nolato AB
BRG-B.ST|Bergs Timber AB
SSAB-B.ST|SSAB Corp
EURI-B.ST|EUR INST SCIENCE-B-
IFS-B.ST|Industrial & Financial Systems AB
SNM.ST|SHAMARAN PETROL
INVE-B.ST|Investor AB
HLDX.ST|Haldex Group AB
GJAB.ST|GULLBERG & JANS
HOLM-A.ST|Holmen AB
MTG-A.ST|Modern Times Group MTG AB
PHAL.ST|PHARMALUNDENSIS	8.50
BILL.ST|Billerud AB
SIVE-BTA-1.ST|SIVERS IMA I13/1
SCA-A.ST|Svenska Cellulosa AB
THK-TR-B.ST|T&K FOND RTS 13/B
PAR-TR-B.ST|PA RES RTS 13/B
MEDF.ST|MEDFIELD DIAGN
SCOR-A.ST|SwitchCore AB
NOMI-TR.ST|NORDIC MINES RTS 12
SDRLO.ST|Seadrill Ltd
